resource,Representation,NullEmpty,Ordering,CustomizeDiff,NestedBlock
google_cloud_asset_folder_feed,0,0,0,0,6
google_cloud_asset_organization_feed,0,0,0,0,6
google_cloud_asset_project_feed,0,0,0,1,6
google_cloud_identity_group,0,0,0,0,3
google_cloud_identity_group_membership,1,0,0,0,5
google_cloud_ids_endpoint,0,0,0,1,1
google_cloud_quotas_quota_adjuster_settings,0,0,0,0,0
google_cloud_quotas_quota_preference,3,0,0,0,4
google_cloud_run_domain_mapping,2,0,0,4,17
google_cloud_run_service,6,0,0,4,179
google_cloud_run_service_iam_binding,0,0,1,0,2
google_cloud_run_service_iam_member,1,0,0,0,1
google_cloud_run_service_iam_policy,1,0,0,0,0
google_cloud_run_v2_job,1,0,0,3,141
google_cloud_run_v2_job_iam_binding,0,0,1,0,2
google_cloud_run_v2_job_iam_member,1,0,0,0,1
google_cloud_run_v2_job_iam_policy,1,0,0,0,0
google_cloud_run_v2_service,1,0,4,3,147
google_cloud_run_v2_service_iam_binding,0,0,1,0,2
google_cloud_run_v2_service_iam_member,1,0,0,0,1
google_cloud_run_v2_service_iam_policy,1,0,0,0,0
google_cloud_run_v2_worker_pool,1,0,4,3,130
google_cloud_run_v2_worker_pool_iam_binding,0,0,1,0,2
google_cloud_run_v2_worker_pool_iam_member,1,0,0,0,1
google_cloud_run_v2_worker_pool_iam_policy,1,0,0,0,0
google_cloud_scheduler_job,6,1,0,3,16
google_cloud_tasks_queue,6,0,0,1,22
google_cloud_tasks_queue_iam_binding,0,0,1,0,2
google_cloud_tasks_queue_iam_member,1,0,0,0,1
google_cloud_tasks_queue_iam_policy,1,0,0,0,0
google_cloudbuild_bitbucket_server_config,0,0,0,1,2
google_cloudbuild_trigger,0,0,0,2,122
google_cloudbuildv2_connection,40,0,0,2,28
google_cloudbuildv2_connection_iam_binding,0,0,1,0,2
google_cloudbuildv2_connection_iam_member,1,0,0,0,1
google_cloudbuildv2_connection_iam_policy,1,0,0,0,0
google_cloudbuildv2_repository,1,0,0,2,2
google_clouddeploy_automation,0,0,0,3,40
google_clouddeploy_custom_target_type,0,0,0,3,20
google_clouddeploy_custom_target_type_iam_binding,0,0,1,0,2
google_clouddeploy_custom_target_type_iam_member,1,0,0,0,1
google_clouddeploy_custom_target_type_iam_policy,1,0,0,0,0
google_clouddeploy_delivery_pipeline_iam_binding,0,0,1,0,2
google_clouddeploy_delivery_pipeline_iam_member,1,0,0,0,1
google_clouddeploy_delivery_pipeline_iam_policy,1,0,0,0,0
google_clouddeploy_deploy_policy,0,0,0,3,71
google_clouddeploy_target_iam_binding,0,0,1,0,2
google_clouddeploy_target_iam_member,1,0,0,0,1
google_clouddeploy_target_iam_policy,1,0,0,0,0
google_clouddomains_registration,0,0,0,2,66
google_cloudfunctions2_function,2,0,0,2,36
google_cloudfunctions2_function_iam_binding,0,0,1,0,2
google_cloudfunctions2_function_iam_member,1,0,0,0,1
google_cloudfunctions2_function_iam_policy,1,0,0,0,0
google_cloudfunctions_function,3,0,0,3,12
google_cloudfunctions_function_iam_binding,0,0,1,0,2
google_cloudfunctions_function_iam_member,1,0,0,0,1
google_cloudfunctions_function_iam_policy,1,0,0,0,0
google_colab_notebook_execution,2,0,0,1,3
google_colab_runtime,2,0,0,1,1
google_colab_runtime_template,6,4,0,2,14
google_colab_runtime_template_iam_binding,0,0,1,0,2
google_colab_runtime_template_iam_member,1,0,0,0,1
google_colab_runtime_template_iam_policy,1,0,0,0,0
google_colab_schedule,4,0,0,1,9
google_composer_environment,31,0,6,6,80
google_composer_user_workloads_config_map,0,0,0,1,1
google_composer_user_workloads_secret,0,0,0,2,0
google_compute_address,3,1,0,2,4
google_compute_attached_disk,2,0,0,2,0
google_compute_autoscaler,2,0,0,2,19
google_compute_backend_bucket,1,0,0,1,17
google_compute_backend_bucket_iam_binding,0,0,1,0,2
google_compute_backend_bucket_iam_member,1,0,0,0,1
google_compute_backend_bucket_iam_policy,1,0,0,0,0
google_compute_backend_bucket_signed_url_key,1,0,0,1,0
google_compute_backend_service,8,0,10,1,70
google_compute_backend_service_iam_binding,0,0,1,0,2
google_compute_backend_service_iam_member,1,0,0,0,1
google_compute_backend_service_iam_policy,1,0,0,0,0
google_compute_backend_service_signed_url_key,1,0,0,1,0
google_compute_cross_site_network,0,0,0,1,0
google_compute_disk,16,0,0,3,14
google_compute_disk_async_replication,3,0,0,0,1
google_compute_disk_iam_binding,0,0,1,0,2
google_compute_disk_iam_member,1,0,0,0,1
google_compute_disk_iam_policy,1,0,0,0,0
google_compute_disk_resource_policy_attachment,2,0,0,2,0
google_compute_external_vpn_gateway,0,0,0,2,4
google_compute_firewall,7,0,8,3,16
google_compute_firewall_policy,1,0,0,1,0
google_compute_firewall_policy_association,2,0,0,1,0
