product,Representation,NullEmpty,Ordering,CustomizeDiff,NestedBlock,TotalScore,TotalNestedWeight,TotalNonNestedWeight,ResourceCount,AverageScore,PercentIAM
secretmanagerregional,3,0,1,3,14,19.45,8.00,11.45,5,3.89,60.0
securesourcemanager,5,0,2,5,18,31.45,12.00,19.45,10,3.14,60.0
securitycenter,3,0,1,3,57,11.45,0.00,11.45,15,0.76,20.0
securitycentermanagement,1,0,0,1,51,3.25,0.00,3.25,4,0.81,0.0
securitycenterv2,2,0,1,3,6,10.25,0.00,10.25,14,0.73,21.4
securityposture,0,0,0,1,149,2.25,0.00,2.25,2,1.12,0.0
securityscanner,0,0,0,1,9,2.25,0.00,2.25,1,2.25,0.0
servicedirectory,4,0,2,2,11,15.50,4.00,11.50,9,1.72,66.7
servicemanagement,4,0,2,1,10,17.25,8.00,9.25,7,2.46,85.7
servicenetworking,1,0,0,1,1,3.45,0.00,3.45,3,1.15,0.0
serviceusage,0,0,0,1,1,2.25,0.00,2.25,1,2.25,0.0
siteverification,1,0,0,0,2,3.20,2.00,1.20,2,1.60,0.0
sourcerepo,2,0,2,1,4,6.75,0.00,6.75,4,1.69,75.0
spanner,10,0,3,8,42,43.30,10.00,33.30,11,3.94,54.5
sql,17,1,15,12,77,124.80,64.00,60.80,5,24.96,0.0
storage,19,0,6,6,60,61.20,20.00,41.20,18,3.40,33.3
storagebatchoperations,0,0,0,1,19,2.25,0.00,2.25,1,2.25,0.0
storagecontrol,27,0,0,0,69,39.00,12.00,27.00,3,13.00,0.0
storageinsights,0,0,0,2,34,6.50,2.00,4.50,2,3.25,0.0
storagetransfer,3,0,0,2,81,7.50,0.00,7.50,2,3.75,0.0
tags,6,0,2,0,7,9.40,0.00,9.40,10,0.94,60.0
tpuv2,5,0,0,4,28,44.80,30.00,14.80,2,22.40,0.0
transcoder,0,0,0,4,212,301.00,292.00,9.00,2,150.50,0.0
vertexai,17,0,6,28,326,183.50,94.00,89.50,37,4.96,48.6
vmwareengine,1,0,0,4,47,24.00,14.00,10.00,8,3.00,0.0
vpcaccess,1,0,0,3,2,9.85,2.00,7.85,1,9.85,0.0
workbench,22,0,1,3,43,89.45,58.00,31.45,4,22.36,75.0
workflows,1,0,0,2,5,9.60,4.00,5.60,1,9.60,0.0
workstations,4,0,2,9,78,103.25,76.00,27.25,9,11.47,66.7
