resource,score,nested_weight,non_nested_weight,tier,LikelyBreaking,provenance,product,is_iam,Representation,NullEmpty,Ordering,CustomizeDiff,NestedBlock,Required,Optional,Optional+Computed,Computed-only
google_app_engine_service_split_traffic,2.25,0.00,2.25,C,true,Generated,appengine,false,0,0,0,1,3,3,1,0,0
google_app_engine_standard_app_version,6.45,2.00,4.45,A,true,Generated,appengine,false,1,0,1,1,23,3,22,1,0
google_apphub_application,4.50,0.00,4.50,A,true,Generated,apphub,false,0,0,0,2,12,1,13,0,0
google_apphub_service,7.45,4.00,3.45,A,true,Generated,apphub,false,1,0,0,1,13,1,12,0,2
google_apphub_service_project_attachment,3.25,0.00,3.25,C,false,Generated,apphub,false,1,0,0,1,0,0,2,0,0
google_apphub_workload,7.45,4.00,3.45,A,true,Generated,apphub,false,1,0,0,1,13,1,12,0,2
google_artifact_registry_repository,21.70,6.00,15.70,A,true,Generated,artifactregistry,false,10,0,1,2,64,1,73,1,2
google_artifact_registry_repository_iam_binding,1.10,0.00,1.10,D,true,Generated,artifactregistry,true,0,0,1,0,2,2,1,0,0
google_artifact_registry_repository_iam_member,1.20,0.00,1.20,D,true,Generated,artifactregistry,true,1,0,0,0,1,1,1,0,0
google_artifact_registry_repository_iam_policy,1.20,0.00,1.20,D,false,Generated,artifactregistry,true,1,0,0,0,0,1,0,0,0
google_artifact_registry_vpcsc_config,2.25,0.00,2.25,C,false,Generated,artifactregistry,false,0,0,0,1,0,0,1,0,0
google_backup_dr_backup_plan,5.45,2.00,3.45,A,true,Generated,backupdr,false,1,0,0,1,19,4,16,0,1
google_backup_dr_backup_plan_association,9.45,6.00,3.45,B,false,Generated,backupdr,false,1,0,0,1,3,1,1,0,3
google_backup_dr_backup_vault,12.75,6.00,6.75,B,true,Generated,backupdr,false,0,0,0,3,5,0,5,0,3
google_backup_dr_management_server,4.25,2.00,2.25,C,true,Generated,backupdr,false,0,0,0,1,2,0,2,0,1
google_backup_dr_service_config,2.25,0.00,2.25,C,false,Generated,backupdr,false,0,0,0,1,0,0,1,0,0
google_beyondcorp_app_connection,10.50,6.00,4.50,B,true,Generated,beyondcorp,false,0,0,0,2,6,1,4,1,2
google_beyondcorp_app_connector,8.50,4.00,4.50,B,true,Generated,beyondcorp,false,0,0,0,2,6,3,3,0,2
google_beyondcorp_app_gateway,10.50,6.00,4.50,B,true,Generated,beyondcorp,false,0,0,0,2,4,0,3,0,3
google_beyondcorp_security_gateway,15.25,12.00,3.25,A,true,Generated,beyondcorp,false,0,0,1,1,29,0,25,2,4
google_beyondcorp_security_gateway_application,2.25,0.00,2.25,A,true,Generated,beyondcorp,false,0,0,0,1,39,8,32,0,0
google_beyondcorp_security_gateway_application_iam_binding,1.10,0.00,1.10,D,true,Generated,beyondcorp,true,0,0,1,0,2,2,1,0,0
google_beyondcorp_security_gateway_application_iam_member,1.20,0.00,1.20,D,true,Generated,beyondcorp,true,1,0,0,0,1,1,1,0,0
google_beyondcorp_security_gateway_application_iam_policy,1.20,0.00,1.20,D,false,Generated,beyondcorp,true,1,0,0,0,0,1,0,0,0
google_beyondcorp_security_gateway_iam_binding,1.10,0.00,1.10,D,true,Generated,beyondcorp,true,0,0,1,0,2,2,1,0,0
google_beyondcorp_security_gateway_iam_member,1.20,0.00,1.20,D,true,Generated,beyondcorp,true,1,0,0,0,1,1,1,0,0
google_beyondcorp_security_gateway_iam_policy,1.20,0.00,1.20,D,false,Generated,beyondcorp,true,1,0,0,0,0,1,0,0,0
google_biglake_catalog,2.25,0.00,2.25,C,false,Generated,biglake,false,0,0,0,1,0,0,1,0,0
google_biglake_database,0.00,0.00,0.00,D,true,Generated,biglake,false,0,0,0,0,3,1,2,0,0
google_biglake_table,0.00,0.00,0.00,A,true,Generated,biglake,false,0,0,0,0,5,0,5,0,0
google_bigquery_analytics_hub_data_exchange,4.25,2.00,2.25,A,true,Generated,bigqueryanalyticshub,false,0,0,0,1,5,0,5,1,0
google_bigquery_analytics_hub_data_exchange_iam_binding,1.10,0.00,1.10,D,true,Generated,bigqueryanalyticshub,true,0,0,1,0,2,2,1,0,0
google_bigquery_analytics_hub_data_exchange_iam_member,1.20,0.00,1.20,D,true,Generated,bigqueryanalyticshub,true,1,0,0,0,1,1,1,0,0
