resource,Required,Optional,Optional+Computed,Computed-only
google_data_fusion_instance,0,11,2,2
google_data_fusion_instance_iam_binding,2,1,0,0
google_data_fusion_instance_iam_member,1,1,0,0
google_data_fusion_instance_iam_policy,1,0,0,0
google_data_loss_prevention_deidentify_template,207,1138,0,0
google_data_loss_prevention_discovery_config,9,320,0,1
google_data_loss_prevention_inspect_template,54,127,0,0
google_data_loss_prevention_job_trigger,57,314,0,0
google_data_loss_prevention_stored_info_type,11,14,0,0
google_data_pipeline_pipeline,3,59,0,0
google_database_migration_service_connection_profile,7,51,0,5
google_database_migration_service_migration_job,0,10,0,5
google_database_migration_service_private_connection,1,5,0,3
google_dataflow_flex_template_job,0,3,3,2
google_dataflow_job,1,4,1,2
google_dataform_repository,0,7,0,2
google_dataform_repository_iam_binding,2,1,0,0
google_dataform_repository_iam_member,1,1,0,0
google_dataform_repository_iam_policy,1,0,0,0
google_dataform_repository_release_config,0,4,0,3
google_dataform_repository_workflow_config,0,6,0,3
google_dataplex_aspect_type,0,5,0,2
google_dataplex_aspect_type_iam_binding,2,1,0,0
google_dataplex_aspect_type_iam_member,1,1,0,0
google_dataplex_aspect_type_iam_policy,1,0,0,0
google_dataplex_asset_iam_binding,2,1,0,0
google_dataplex_asset_iam_member,1,1,0,0
google_dataplex_asset_iam_policy,1,0,0,0
google_dataplex_datascan,12,97,0,3
google_dataplex_datascan_iam_binding,2,1,0,0
google_dataplex_datascan_iam_member,1,1,0,0
google_dataplex_datascan_iam_policy,1,0,0,0
google_dataplex_entry,5,6,1,0
google_dataplex_entry_group,0,3,0,2
google_dataplex_entry_group_iam_binding,2,1,0,0
google_dataplex_entry_group_iam_member,1,1,0,0
google_dataplex_entry_group_iam_policy,1,0,0,0
google_dataplex_entry_link,1,1,0,0
google_dataplex_entry_type,0,5,0,2
google_dataplex_entry_type_iam_binding,2,1,0,0
google_dataplex_entry_type_iam_member,1,1,0,0
google_dataplex_entry_type_iam_policy,1,0,0,0
google_dataplex_glossary,0,3,0,2
google_dataplex_glossary_category,0,3,0,2
google_dataplex_glossary_iam_binding,2,1,0,0
google_dataplex_glossary_iam_member,1,1,0,0
google_dataplex_glossary_iam_policy,1,0,0,0
google_dataplex_glossary_term,0,3,0,2
google_dataplex_lake_iam_binding,2,1,0,0
google_dataplex_lake_iam_member,1,1,0,0
google_dataplex_lake_iam_policy,1,0,0,0
google_dataplex_task,2,69,0,5
google_dataplex_task_iam_binding,2,1,0,0
google_dataplex_task_iam_member,1,1,0,0
google_dataplex_task_iam_policy,1,0,0,0
google_dataplex_zone_iam_binding,2,1,0,0
google_dataplex_zone_iam_member,1,1,0,0
google_dataplex_zone_iam_policy,1,0,0,0
google_dataproc_autoscaling_policy,2,4,0,0
google_dataproc_autoscaling_policy_iam_binding,2,1,0,0
google_dataproc_autoscaling_policy_iam_member,1,1,0,0
google_dataproc_autoscaling_policy_iam_policy,1,0,0,0
google_dataproc_batch,0,55,4,12
google_dataproc_cluster,42,71,109,30
google_dataproc_cluster_iam_binding,2,1,0,0
google_dataproc_cluster_iam_member,1,1,0,0
google_dataproc_cluster_iam_policy,1,0,0,0
google_dataproc_gdc_application_environment,0,8,0,3
google_dataproc_gdc_service_instance,0,5,0,2
google_dataproc_gdc_spark_application,3,41,0,3
google_dataproc_job,19,73,13,3
google_dataproc_job_iam_binding,2,1,0,0
google_dataproc_job_iam_member,1,1,0,0
google_dataproc_job_iam_policy,1,0,0,0
google_dataproc_metastore_database_iam_binding,2,1,0,0
google_dataproc_metastore_database_iam_member,1,1,0,0
google_dataproc_metastore_database_iam_policy,1,0,0,0
google_dataproc_metastore_federation,1,4,0,2
google_dataproc_metastore_federation_iam_binding,2,1,0,0
google_dataproc_metastore_federation_iam_member,1,1,0,0
google_dataproc_metastore_federation_iam_policy,1,0,0,0
google_dataproc_metastore_service,7,20,8,2
google_dataproc_metastore_service_iam_binding,2,1,0,0
google_dataproc_metastore_service_iam_member,1,1,0,0
google_dataproc_metastore_service_iam_policy,1,0,0,0
google_dataproc_metastore_table_iam_binding,2,1,0,0
google_dataproc_metastore_table_iam_member,1,1,0,0
google_dataproc_metastore_table_iam_policy,1,0,0,0
google_dataproc_session_template,0,21,2,4
google_datastream_connection_profile,2,28,0,2
google_datastream_private_connection,0,7,0,3
google_datastream_stream,72,286,0,2
google_deployment_manager_deployment,3,5,0,0
google_developer_connect_account_connector,2,6,0,3
google_developer_connect_connection,16,18,2,4
google_developer_connect_git_repository_link,0,5,0,3
google_developer_connect_insights_config,0,14,0,7
google_dialogflow_agent,0,2,0,0
google_dialogflow_conversation_profile,12,140,0,0
google_dialogflow_cx_agent,0,28,2,0
google_dialogflow_cx_entity_type,1,3,0,0
google_dialogflow_cx_environment,1,1,0,0
google_dialogflow_cx_flow,0,233,1,8
google_dialogflow_cx_generative_settings,0,8,0,0
google_dialogflow_cx_generator,1,3,0,0
google_dialogflow_cx_intent,2,4,0,2
google_dialogflow_cx_page,0,494,0,8
google_dialogflow_cx_playbook,0,8,0,2
google_dialogflow_cx_security_settings,0,4,0,0
google_dialogflow_cx_test_case,0,108,0,1
google_dialogflow_cx_tool,7,29,0,0
google_dialogflow_cx_version,0,1,0,1
google_dialogflow_cx_webhook,0,36,0,0
google_dialogflow_encryption_spec,1,1,0,0
google_dialogflow_entity_type,2,2,0,0
google_dialogflow_fulfillment,0,5,0,0
google_dialogflow_intent,0,4,0,1
google_discovery_engine_acl_config,0,4,0,0
google_discovery_engine_assistant,0,9,0,0
google_discovery_engine_chat_engine,2,4,0,1
google_discovery_engine_cmek_config,0,2,0,0
google_discovery_engine_control,2,19,0,0
google_discovery_engine_data_connector,0,12,0,3
google_discovery_engine_data_store,0,63,0,0
google_discovery_engine_license_config,1,2,0,0
google_discovery_engine_recommendation_engine,1,13,0,0
google_discovery_engine_schema,0,2,0,0
google_discovery_engine_search_engine,2,5,0,0
google_discovery_engine_sitemap,0,1,0,0
google_discovery_engine_target_site,0,3,0,2
google_dns_managed_zone,14,14,4,3
google_dns_managed_zone_iam_binding,2,1,0,0
google_dns_managed_zone_iam_member,1,1,0,0
google_dns_managed_zone_iam_policy,1,0,0,0
google_dns_policy,8,4,1,0
google_dns_record_set,28,85,0,0
google_dns_response_policy,2,3,0,0
google_dns_response_policy_rule,3,5,0,0
google_document_ai_processor,0,1,0,0
google_document_ai_processor_default_version,1,0,0,0
google_document_ai_warehouse_document_schema,12,50,0,0
google_document_ai_warehouse_location,0,0,0,0
google_edgecontainer_cluster,14,10,17,5
google_edgecontainer_node_pool,0,4,3,2
google_edgecontainer_vpn_connection,0,4,0,7
google_edgenetwork_interconnect_attachment,1,3,0,2
google_edgenetwork_network,0,3,0,2
google_edgenetwork_subnet,1,5,0,2
google_endpoints_service,0,1,0,4
google_endpoints_service_consumers_iam_binding,2,1,0,0
google_endpoints_service_consumers_iam_member,1,1,0,0
google_endpoints_service_consumers_iam_policy,1,0,0,0
